CustomerID,Probability
0956-SYCWG,10.02
8017-UVSZU,11.83
7100-FQPRV,5.57
2472-OVKUP,67.51
2984-RGEYA,0.29
9680-NIAUV,6.4
2146-EGVDT,0.44
2604-IJPDU,36.8
9178-JHUVJ,5.09
6168-YBYNP,33.05
7255-SSFBC,9.09
3645-DEYGF,17.13
9323-HGFWY,22.28
8544-GOQSH,35.83
3363-DTIVD,9.12
7018-WBJNK,49.41
9142-KZXOP,17.01
7674-YTAFD,14.98
6348-SNFUS,1.2
1285-OKIPP,67.64
7825-ECJRF,46.15
1347-KTTTA,10.8
7841-TZDMQ,42.41
4195-NZGTA,60.87
7157-SMCFK,0.37
4709-LKHYG,4.16
2504-DSHIH,61.98
0699-NDKJM,11.39
9286-BHDQG,0.5
0230-WEQUW,1.74
2040-LDIWQ,3.38
6496-JDSSB,60.83
9408-SSNVZ,67.71
4443-EMBNA,0.45
6469-MRVET,20.06
0742-MOABM,26.04
5961-VUSRV,10.52
6778-JFCMK,22.36
6341-JVQGF,8.37
2232-DMLXU,42.57
4811-JBUVU,39.71
0945-TSONX,4.43
2651-ZCBXV,9.18
3316-UWXUY,13.2
8937-RDTHP,55.94
7083-MIOPC,0.27
1984-GPTEH,10.18
1251-KRREG,44.37
0621-JFHOL,21.17
9903-LYSAB,61.74
0094-OIFMO,72.5
9227-UAQFT,4.44
7301-ABVAD,2.57
6614-FHDBO,7.0
7576-ASEJU,5.96
9058-HRZSV,16.05
4522-AKYLR,40.41
0221-WMXNQ,52.16
0303-UNCIP,9.02
9947-OTFQU,56.65
0322-YINQP,33.23
0959-WHOKV,24.36
4075-JFPGR,14.26
4629-NRXKX,59.78
9514-JDSKI,64.59
3282-ZISZV,8.43
3675-YDUPJ,17.37
4111-BNXIF,4.34
7017-VFHAY,5.91
6655-LHBYW,10.5
4959-JOSRX,45.11
5046-NUHWD,37.12
7273-TEFQD,73.26
3606-TWKGI,74.4
7529-ZDFXI,37.63
7605-BDWDC,7.48
1950-KSVVJ,12.58
0123-CRBRT,2.09
6292-TOSSS,1.11
3197-ARFOY,38.42
6323-AYBRX,0.48
7014-ZZXAW,0.56
4385-GZQXV,63.91
7633-MVPUY,1.83
6366-ZGQGL,51.73
4716-HHKQH,56.99
5940-AHUHD,52.71
6432-TWQLB,59.63
4484-GLZOU,49.0
3179-GBRWV,24.47
8645-KWHJO,53.13
4130-MZLCC,30.41
0314-TKOSI,20.28
8229-MYEJZ,32.7
2080-SRCDE,21.68
9577-WJVCQ,2.72
9512-UIBFX,46.54
6202-DYYFX,35.63
3808-HFKDE,33.82
5583-SXDAG,63.34
3488-PGMQJ,63.19
3580-REOAC,33.79
7534-BFESC,58.94
3727-OWVYD,3.77
2294-SALNE,12.49
4847-TAJYI,78.34
1563-IWQEX,12.49
8203-XJZRC,19.58
6556-DBKZF,4.71
6851-WEFYX,65.3
2985-JUUBZ,31.24
6390-DSAZX,46.59
0895-LMRSF,22.89
8098-LLAZX,83.18
8266-VBFQL,62.53
8181-YHCMF,2.04
2240-HSJQD,28.13
1248-DYXUB,0.86
0265-EDXBD,53.21
4115-BNPJY,6.72
3167-SNQPL,48.06
4091-TVOCN,7.26
1098-TDVUQ,27.14
7277-OZCGZ,39.01
1557-EMYVT,9.72
2799-ARNLO,71.89
7563-BIUPC,69.62
5027-YOCXN,9.34
3973-SKMLN,0.35
2321-OMBXY,4.18
2840-XANRC,66.27
6745-JEFZB,35.61
5020-ZSTTY,4.25
9880-TDQAC,3.43
8705-WZCYL,53.27
7102-JJVTX,11.87
8626-PTQGE,2.07
4983-CLMLV,28.31
5701-YVSVF,61.98
5804-LEPIM,72.95
5697-GOMBF,42.57
2739-CACDQ,57.52
9385-EHGDO,2.27
9498-FIMXL,12.16
2379-GYFLQ,20.26
0122-OAHPZ,70.58
2868-SNELZ,57.73
4322-RCYMT,3.24
6680-NENYN,33.37
2088-IEBAU,3.64
7982-VCELR,41.38
1343-EHPYB,38.88
6035-BXTTY,10.19
6885-PKOAM,1.65
7520-HQWJU,4.0
9639-BUJXT,0.54
5924-SNGKP,2.04
0021-IKXGC,77.98
2034-GDRCN,77.46
8966-SNIZF,0.32
6243-OZGFH,54.37
4654-DLAMQ,8.34
0513-RBGPE,3.41
5160-UXJED,11.36
4115-NZRKS,77.37
0219-YTZUE,57.46
0623-IIHUG,43.01
4572-DVCGN,62.0
3351-NGXYI,38.04
8984-EYLLL,16.1
9057-MSWCO,18.26
9833-TGFHX,22.23
9294-TDIPC,14.28
5229-DTFYB,15.18
0104-PPXDV,2.54
5176-LMJXE,1.34
3583-KRKMD,37.07
1010-DIAUQ,59.94
9069-LGEUL,22.97
7302-ZHMHP,20.3
9571-EDEBV,16.9
3520-FJGCV,5.65
6563-VRERX,2.3
0259-GBZSH,76.47
6122-EFVKN,4.9
2805-EDJPQ,12.29
6862-CQUMB,39.45
7156-MXBJE,7.5
6158-HDPXZ,50.46
9601-BRXPO,52.79
2863-IMQDR,3.13
5686-CMAWK,29.99
5651-CRHKQ,11.93
6905-NIQIN,32.02
8204-YJCLA,2.07
5167-ZFFMM,67.55
6583-SZVGP,22.18
4895-TMWIR,15.44
0533-BNWKF,34.05
1708-PBBOA,8.61
8782-LKFPK,38.29
5522-JBWMO,41.01
3597-MVHJT,59.84
9774-NRNAU,30.77
0224-RLWWD,57.58
9967-ATRFS,9.03
3951-NJCVI,61.6
2977-CEBSX,2.66
0177-PXBAT,41.12
6599-CEBNN,28.13
2519-ERQOJ,37.49
5876-QMYLD,3.92
2277-AXSDC,2.9
9442-JTWDL,7.77
0979-PHULV,25.83
3067-SVMTC,0.97
5495-GPSRW,5.05
7606-BPHHN,0.34
4742-DRORA,11.13
0111-KLBQG,43.12
4800-VHZKI,26.16
7989-CHGTL,25.2
0334-GDDSO,72.54
4163-NCJAK,2.76
5233-AOZUF,53.38
5973-EJGDP,22.38
1996-DBMUS,27.72
7916-VCCPB,34.74
4686-GEFRM,7.43
5249-QYHEX,2.34
0578-SKVMF,44.6
5564-NEMQO,65.82
2233-FAGXV,25.05
5605-IYGFG,57.79
7663-ZTEGJ,16.35
3935-TBRZZ,1.76
8111-BKVDS,27.44
2055-SIFSS,8.96
2806-MLNTI,29.27
8734-DKSTZ,65.32
4360-PNRQB,53.07
6152-ONASV,1.27
9063-ZGTUY,1.36
7781-HVGMK,1.74
2181-UAESM,32.23
2957-LOLHO,33.36
6048-NJXHX,2.72
2320-SLKMB,25.87
4980-URKXC,2.42
4376-KFVRS,6.22
5886-VLQVU,39.05
3577-AMVUX,26.38
0771-WLCLA,53.79
5628-RKIFK,30.03
0206-TBWLC,13.72
2937-FTHUR,28.22
1910-FMXJM,41.09
7752-XUSCI,41.41
4110-PFEUZ,53.85
0732-OCQOC,1.34
5168-MSWXT,70.07
1090-ESELR,3.24
8592-PLTMQ,0.75
5760-WRAHC,18.71
8847-GEOOQ,10.14
0256-LTHVJ,51.62
4785-FCIFB,0.67
8313-NDOIA,65.05
5149-CUZUJ,14.11
0942-KOWSM,6.4
4237-CLSMM,19.77
1452-VOQCH,74.13
4719-UMSIY,13.62
6614-VBEGU,32.23
0880-TKATG,70.99
3811-VBYBZ,74.92
1480-BKXGA,8.97
2996-XAUVF,2.03
9076-AXYIK,14.61
5968-XQIVE,12.89
8896-RAZCR,0.95
4640-UHDOS,38.02
4933-IKULF,6.9
3583-EKAPL,59.58
1304-BCCFO,46.47
4104-PVRPS,8.82
9399-APLBT,63.94
2359-KMGLI,51.08
3780-DDGSE,23.55
4431-EDMIQ,25.66
0306-JAELE,66.61
6227-HWPWX,37.58
0486-LGCCH,5.24
0447-BEMNG,13.46
4612-SSVHJ,65.54
5168-MQQCA,13.9
5949-XIKAE,61.98
7971-HLVXI,8.05
9094-AZPHK,70.94
3649-JPUGY,3.24
4472-LVYGI,36.35
8372-JUXUI,70.79
3552-CTCYF,14.23
6778-YSNIH,52.65
0388-EOPEX,60.63
5756-OZRIO,5.1
6579-JPICP,19.58
8205-OTCHB,24.36
4134-BSXLX,6.83
0505-SPOOW,0.33
6235-VDHOM,55.5
7783-YKGDV,50.85
4374-YMUSQ,14.81
4513-CXYIX,5.61
3957-HHLMR,2.16
7803-XOCCZ,9.8
5736-YEJAX,1.24
5609-CEBID,66.14
8981-FJGLA,52.36
7218-HKQFK,69.92
4636-QRJKY,60.62
1135-LMECX,20.34
4332-MUOEZ,15.79
8535-SFUTN,32.17
5956-VKDTT,76.49
8677-HDZEE,28.39
2475-MROZF,20.97
9412-GHEEC,32.0
3482-ABPKK,4.36
6705-LXORM,64.63
0257-ZESQC,34.19
7531-GQHME,11.91
5174-ITUMV,21.32
4109-CYRBD,35.24
0913-XWSCN,22.3
6825-UYPFK,41.55
8397-MVTAZ,62.9
0750-EBAIU,11.24
8606-CIQUL,7.2
3571-DPYUH,9.73
7601-GNDYK,1.54
0356-OBMAC,12.11
8067-NIOYM,3.87
1403-GYAFU,0.24
4234-XTNEA,71.76
1297-VQDRP,15.62
9282-IZGQK,79.54
5348-CAGXB,68.59
0621-HJWXJ,17.98
5844-QVTAT,5.35
8905-IAZPF,13.49
5394-MEITZ,3.36
6859-QNXIQ,6.55
2782-LFZVW,46.96
2866-IKBTM,20.32
1342-JPNKI,64.11
2817-NTQDO,28.71
7129-AZJDE,24.74
6986-IJDHX,27.16
2560-PPCHE,14.38
4676-MQUEA,18.27
8138-EALND,10.49
3580-HYCSP,8.49
1352-HNSAW,6.54
2075-PUEPR,0.59
1982-FEBTD,5.19
5301-GAUUY,36.99
5791-KAJFD,5.01
2654-VBVPB,21.21
1154-HYWWO,3.18
2501-XWWTZ,52.47
3716-UVSPD,43.21
6815-ABQFQ,24.6
7343-EOBEU,29.35
3701-SFMUH,27.91
6103-LIANB,15.96
7319-VENRZ,25.73
5846-NEQVZ,1.07
6967-QIQRV,27.07
5781-RFZRP,1.02
0939-YAPAF,61.48
0308-IVGOK,21.28
7293-LSCDV,0.59
7025-WCBNE,3.08
5756-JYOJT,15.29
4710-FDUIZ,17.34
6030-REHUX,60.6
9548-LIGTA,2.17
5150-LJNSR,18.31
8270-RKSAP,62.17
6522-YRBXD,46.82
2640-LYMOV,24.23
1218-VKFPE,11.47
3627-FHKBK,42.71
2865-TCHJW,78.11
1423-BMPBQ,24.23
2393-DIVAI,24.2
5192-EBGOV,80.7
4568-KNYWR,2.59
8752-IMQOS,9.12
0742-LAFQK,9.96
0795-LAFGP,2.25
0619-OLYUR,7.81
5512-IDZEI,2.3
0459-SPZHJ,2.53
0215-BQKGS,21.67
9244-ZVAPM,36.16
0719-SYFRB,21.11
8208-EUMTE,8.3
5172-MIGPM,35.53
1710-RCXUS,20.06
0374-FIUCA,0.54
5839-SUYVZ,36.67
5173-ZXXXL,11.54
1096-ADRUX,9.13
2001-MCUUW,16.69
2731-GJRDG,25.2
4723-BEGSG,1.75
6516-NKQBO,3.46
8672-OAUPW,1.84
8207-DMRVL,4.68
3419-SNJJD,23.06
6543-CPZMK,50.84
4765-OXPPD,11.87
2804-ETQDK,0.29
6689-VRRTK,24.85
7138-GIRSH,3.84
9396-ZSFLL,28.37
6464-KEXXH,49.16
7134-MJPDY,17.51
5240-CAOYT,10.49
4059-IIEBK,59.13
4881-JVQOD,57.36
0516-UXRMT,11.18
4851-BQDNX,25.18
5148-HKFIR,3.85
1009-IRMNA,16.43
3003-CMDUU,54.92
5016-IBERQ,45.33
6797-UCJHZ,16.34
2469-DTSGX,11.73
4554-YGZIH,29.54
5099-BAILX,36.54
9931-KGHOA,7.39
1775-KWJKQ,1.4
7665-VIGUD,7.85
9411-TPQQV,9.9
7207-RMRDB,36.14
7954-MLBUN,16.43
2077-DDHJK,0.92
4913-EHYUI,19.36
0195-IESCP,74.52
9574-BOSMD,0.4
4580-TMHJU,13.88
0970-ETWGE,77.18
4908-XAXAY,19.28
8404-VLQFB,22.72
1626-ERCMM,75.29
0887-HJGAR,44.01
2391-IPLOP,7.75
5644-PDMZC,72.69
3509-GWQGF,35.45
9576-ANLXO,61.34
2024-BASKD,60.55
5845-BZZIB,1.53
1140-UKVZG,12.78
4160-AMJTL,23.43
5183-SNMJQ,53.04
8100-PNJMH,2.15
7838-LAZFO,5.46
4464-JCOLN,10.53
2085-JVGAD,3.96
5650-VDUDS,55.92
8095-WANWK,28.23
3030-ZKIWL,19.57
9565-FLVCG,2.2
8755-OGKNA,0.55
2800-VEQXM,58.89
7538-GWHML,62.08
5533-RJFTJ,11.57
3859-CVCET,34.26
0214-JHPFW,2.24
5642-MHDQT,1.23
3088-FVYWK,0.83
3276-HDUEG,67.42
9092-GDZKO,12.49
0823-HSCDJ,24.45
3729-OWRVL,14.16
2324-AALNO,1.74
0822-GAVAP,72.58
5760-IFJOZ,61.68
2826-UWHIS,23.0
1448-PWKYE,65.44
7501-IWUNG,3.45
4957-TREIR,26.11
7251-LJBQN,30.24
8040-MNRTF,53.97
1536-HBSWP,44.46
5313-FPXWG,1.97
0067-DKWBL,45.14
0946-FKYTX,3.76
5076-YVXCM,25.27
8262-COGGB,25.25
6663-JOCQO,7.65
9620-QJREV,1.04
2276-YDAVZ,65.66
2682-KEVRP,7.29
2480-JZOSN,27.49
0078-XZMHT,3.53
5896-NPFWW,47.43
9978-HYCIN,16.98
8338-QIUNR,0.96
1525-LNLOJ,3.23
9450-TRJUU,42.37
1766-GKNMI,59.36
6942-LBFDP,25.16
1456-TWCGB,29.2
7133-VBDCG,28.11
7596-ZYWBB,0.86
8329-UTMVM,36.87
3014-WJKSM,36.11
3347-YJZZE,21.66
1029-QFBEN,19.54
7929-DMBCV,36.62
9661-JALZV,1.04
5433-KYGHE,32.42
4312-KFRXN,0.37
5575-TPIZQ,25.7
0114-IGABW,2.18
9944-AEXBM,48.18
1853-ARAAQ,40.95
6952-OMNWB,18.72
4697-LUPSU,10.54
8434-VGEQQ,0.41
4952-YSOGZ,76.35
1589-AGTLK,51.11
5244-IRFIH,66.92
6549-YMFAW,22.16
4950-HKQTE,4.61
6786-OBWQR,68.19
2684-EIWEO,25.91
2753-JMMCV,2.6
6439-GTPCA,31.03
6621-YOBKI,16.46
1216-JWVUX,41.47
7564-GHCVB,3.04
1173-NOEYG,47.0
7595-EHCDL,25.32
6647-ZEDXT,23.46
2521-NPUZR,2.81
1307-TVUFB,32.53
7503-MIOGA,3.14
4381-MHQDC,2.71
6923-JHPMP,57.77
5138-WVKYJ,60.34
4018-PPNDW,0.82
1635-FJFCC,40.07
2499-AJYUA,11.52
6919-ELBGL,7.28
3966-HRMZA,54.86
6425-JWTDV,0.9
8405-IGQFX,8.55
8224-IVVPA,13.29
9477-LGWQI,1.94
1410-RSCMR,22.65
3115-CZMZD,15.03
0139-IVFJG,52.2
6683-VLCTZ,72.6
5730-DBDSI,0.35
0030-FNXPP,18.68
2189-WWOEW,49.28
5684-FJVYR,2.98
4013-GUXND,19.6
1894-IGFSG,55.99
7379-POKDZ,68.97
1266-NZYUI,0.77
7969-FFOWG,0.33
4718-DHSMV,51.61
5175-WLYXL,42.71
7817-OMJNA,6.83
8728-SKJLR,25.82
3137-NYQQI,11.24
7706-DZNKK,16.49
0236-HFWSV,73.75
3900-AQPHZ,20.34
5842-POCOP,54.25
2037-XJFUP,41.26
8823-RLPWL,9.92
9505-SQFSW,48.47
7314-OXENN,69.96
3758-CKOQL,9.41
0322-CHQRU,44.03
5676-CFLYY,1.78
7521-AFHAB,30.94
0285-INHLN,11.01
4678-DVQEO,44.64
5125-CNDSP,1.41
0691-IFBQW,30.49
4992-LTJNE,0.92
2202-OUTMO,11.49
0810-BDHAW,16.31
0229-LFJAF,0.7
7131-ZQZNK,2.14
3442-ZHHCC,2.96
5726-CVNYA,8.58
9871-ELEYA,2.69
4257-GAESD,56.0
5173-WXOQV,36.68
2040-OBMLJ,15.79
6286-ZHAOK,14.15
3807-XHCJH,25.17
3009-JWMPU,27.14
5671-RQRLP,8.4
1450-GALXR,70.22
8859-AXJZP,2.28
3174-AKMAS,3.88
3138-BKYAV,64.69
9926-PJHDQ,4.43
7382-DFJTU,14.88
2798-NYLMZ,7.25
4289-DTDKW,55.8
1820-TQVEV,69.15
2239-JALAW,21.58
4853-RULSV,6.88
8098-TDCBU,2.64
3551-GAEGL,6.26
4785-NKHCX,19.78
3196-NVXLZ,51.52
6275-YDUVO,65.88
0036-IHMOT,12.84
0115-TFERT,58.97
4178-EGMON,2.94
4220-TINQT,38.82
5318-YKDPV,4.08
7975-TZMLR,34.24
0295-QVKPB,32.61
4335-BSMJS,0.84
2311-QYMUQ,44.84
3643-AHCFP,76.68
9146-JRIOX,13.31
3104-OWCGK,10.34
5337-IIWKZ,23.21
9101-BWFSS,16.34
9650-VBUOG,1.75
3487-EARAT,1.01
2672-TGEFF,45.26
9231-ZJYAM,74.43
4250-WAROZ,25.78
8184-WMOFI,1.5
6982-SSHFK,36.08
6092-QZVPP,11.96
4625-LAMOB,1.06
0727-BMPLR,37.11
0392-BZIUW,10.36
1038-ZAGBI,7.16
6549-NNDYT,35.58
3027-ZTDHO,77.2
0422-OHQHQ,5.91
6916-HIJSE,2.07
2316-ESMLS,11.88
9778-OGKQZ,2.43
7408-OFWXJ,1.45
6007-TCTST,7.01
2252-NKNSI,3.37
8713-IGZSO,22.83
7905-TVXTA,33.87
7695-PKLCZ,0.32
2382-BCKQJ,26.67
8374-UULRV,1.52
2207-NHRJK,40.67
3224-DFQNQ,5.3
5275-PMFUT,1.63
4795-UXVCJ,3.45
9777-IQHWP,5.6
0947-MUGVO,53.81
9944-HKVVB,73.68
4124-MMETB,60.48
3671-SHRSP,48.49
0979-MOZQI,2.85
2732-ISEZX,22.37
3313-QKNKB,18.86
0323-XWWTN,12.44
1937-OTUKY,5.15
1573-LGXBA,14.59
1764-VUUMT,0.28
5073-WXOYN,17.16
4713-ZBURT,17.94
3050-GBUSH,60.72
0207-MDKNV,41.23
7876-AEHIG,4.1
7945-HLKEA,2.49
9342-VNIMQ,17.83
9851-KIELU,46.85
3523-BRGUW,4.12
3908-BLSYF,63.6
3199-NPKCN,16.66
5170-PTRKA,3.13
4661-NJEUX,25.23
2123-AGEEN,71.74
1258-YMZNM,35.0
0048-LUMLS,20.5
7549-MYGPK,20.12
5898-IGSLP,22.41
3804-RVTGV,34.59
6259-WJQLC,42.75
9227-LUNBG,60.82
7997-EASSD,8.33
0730-KOAVE,33.95
8975-SKGRX,7.88
0678-RLHVP,20.87
4315-MURBD,43.64
2267-FPIMA,24.59
1051-GEJLJ,19.43
9734-YWGEX,62.37
2719-BDAQO,48.71
5285-MVEHD,14.14
0379-DJQHR,1.58
0781-LKXBR,79.48
5543-QDCRY,54.19
0297-RBCSG,14.14
4694-PHWFW,13.09
0835-JKADZ,14.26
1907-UBQFC,60.9
7508-SMHXL,51.27
3865-YIOTT,12.61
5993-BQHEA,7.09
6024-RUGGH,0.47
6513-EECDB,78.35
3956-CJUST,36.13
4079-WWQQQ,1.98
6103-BOCOU,55.07
5149-TGWDZ,29.52
7471-WNSUF,0.97
8942-DBMHZ,12.09
4301-VVZKA,63.82
9199-PWQVC,4.97
4824-GUCBY,34.33
5393-HJZSM,7.37
7074-IEVOJ,73.24
9625-QSTYE,54.39
0862-PRCBS,8.83
8812-ZRHFP,28.59
5146-CBVOE,37.26
0454-OKRCT,8.26
5787-KXGIY,0.25
4750-ZRXIU,80.74
4198-VFOEA,17.37
6630-UJZMY,79.89
5709-LVOEQ,25.61
6400-BWQKW,61.3
2692-AQCPF,14.89
0347-UBKUZ,10.99
0835-DUUIQ,3.79
0811-GSDTP,37.67
7567-ECMCM,47.14
6115-ZTBFQ,1.66
6353-BRMMA,26.17
6680-WKXRZ,59.26
6231-WFGFH,20.72
9904-EHEVJ,47.72
7028-DVOIQ,63.4
6169-PPETC,1.66
4208-UFFGW,39.06
8584-KMVXD,51.82
8467-WYNSR,9.12
0851-DFJKB,16.63
5382-SOYZL,69.78
9448-REEVD,37.18
3261-CQXOL,0.38
8388-FYNPZ,30.7
4002-BQWPQ,12.58
5651-YLPRD,42.25
2826-DXLQO,39.25
4378-BZYFP,7.68
9489-UTFKA,30.2
4849-PYRLQ,2.61
9117-SHLZX,44.01
9889-TMAHG,40.66
4541-RMRLG,20.37
7764-BDPEE,15.7
3429-IFLEM,0.8
3158-MOERK,81.46
7294-TMAOP,71.98
5002-GCQFH,24.12
0556-FJEGU,1.74
8919-FYFQZ,20.73
0604-THJFP,3.13
2834-JRTUA,9.56
5875-YPQFJ,69.17
5879-SESNB,60.52
6646-QVXLR,29.81
6461-PPAXN,4.28
3318-ISQFQ,12.17
1106-HRLKZ,1.2
2483-XSSMZ,7.4
8603-IJWDN,78.81
8165-ZJRNM,0.34
9369-XFEHK,42.91
2604-XVDAM,27.52
3717-OFRTN,20.39
9046-JBFWA,5.01
3280-NMUVX,2.12
1206-EHBDD,4.69
8361-LBRDI,0.73
4883-KCPZJ,4.05
9108-EQPNQ,7.17
7277-KAMWT,5.13
3842-IYKUE,20.28
6641-XRPSU,31.43
1374-DMZUI,83.25
2545-LXYVJ,0.29
3234-VKACU,44.37
8357-EQXFO,73.7
1989-PRJHP,57.52
8120-JDCAM,55.5
8917-FAEMR,1.64
7047-YXDMZ,7.87
2858-EIMXH,30.51
9524-EGPJC,59.97
6993-OHLXR,61.86
8818-XYFCQ,40.33
6419-ZTTLE,10.09
0929-HYQEW,31.49
6614-YOLAC,1.19
7426-RHZGU,56.04
4065-JJAVA,41.76
4695-VADHF,30.6
3863-IUBJR,18.8
7649-SIJJF,1.61
9361-YNQWJ,1.08
3748-FVMZZ,60.68
9391-TTOYH,10.1
1452-XRSJV,6.21
3422-WJOYD,4.29
8242-SOQUO,70.16
7460-ITWWP,45.72
7147-AYBAA,28.01
7868-TMWMZ,9.0
4822-RVYBB,79.96
6732-FZUGP,12.82
8436-BJUMM,55.52
4184-TJFAN,44.76
8329-GWVPJ,19.62
1352-VHKAJ,20.68
4145-UQXUQ,76.04
2632-TACXW,0.66
8146-QQKZH,1.56
1767-CJKBA,0.49
6445-TNRXS,7.01
4581-LNWUM,56.75
4869-EPIUS,20.58
9948-YPTDG,25.53
1236-WFCDV,56.32
1915-OAKWD,7.61
7296-PIXQY,48.91
4883-QICIH,31.84
3354-OADJP,10.07
3524-WQDSG,44.38
0810-DHDBD,2.95
4026-SKKHW,32.48
2829-HYVZP,4.2
8329-IBCTI,20.33
1271-SJBGZ,54.67
3845-JHAMY,45.29
7013-PSXHK,12.64
5669-SRAIP,61.29
5981-ITEMU,49.58
3486-NPGST,2.19
6941-PMGEP,72.65
1624-WOIWJ,46.96
2074-GKOWZ,68.28
0376-YMCJC,51.49
6100-FJZDG,4.67
4829-ZLJTK,16.24
1730-VFMWO,9.84
7143-BQIBA,16.95
3800-LYTRK,7.68
0634-SZPQA,45.08
9646-NMHXE,0.99
7030-NJVDP,38.87
5536-RTPWK,40.0
